keyword,embedding
촉촉,"[0.3791840076446533, -0.40626096725463867, -0.6021504402160645, -0.1335097700357437, 0.40531954169273376, 0.19666233658790588, -0.1206481084227562, -0.42545101046562195, 0.4890023469924927, -0.11876015365123749, -0.17454302310943604, -0.3606163561344147, -0.6981794834136963, -0.025730405002832413, 0.35851097106933594, 0.7054017186164856, -0.35475820302963257, 0.6021391153335571, 0.4945124685764313, 0.053392134606838226, -0.22066377103328705, 0.23224392533302307, -0.0224774070084095, 0.06016905605792999, -0.002429730026051402, -0.07406023144721985, 0.4233892858028412, -0.40786442160606384, 0.08208788186311722, 0.29795041680336, -0.3089243471622467, 0.5198718905448914, 0.07760949432849884, 0.13521960377693176, 0.2957894504070282, 0.528846025466919, 0.4349733591079712, -0.4365052878856659, -0.3120982348918915, -0.6913480758666992, -0.45796480774879456, -0.4294745922088623, -0.22323037683963776, -0.30317842960357666, 0.13661371171474457, 0.0007698951521888375, 0.35344424843788147, 0.5526880025863647, -0.4198218286037445, -0.08219074457883835, 0.05377819761633873, 0.09692227840423584, -0.3005845248699188, 0.23934052884578705, -0.0908266007900238, 0.20716381072998047, 0.28065046668052673, 0.4681914746761322, -0.06176183372735977, 0.30391764640808105, -0.7811400890350342, -0.00715607637539506, 0.2163953334093094, 0.06481396406888962, -0.5843482613563538, 0.23787890374660492, 0.02325594425201416, -0.226607546210289, 0.017931006848812103, -0.20913349092006683, -0.764092743396759, -0.34979233145713806, -0.3476198613643646, 0.24605807662010193, 0.3510126769542694, -0.31084495782852173, -0.011252409778535366, 0.19408299028873444, -0.49080753326416016, -0.010308125987648964, -0.11858686804771423, -0.6053594350814819, 0.14027740061283112, -0.05365241691470146, 0.15554246306419373, 0.11770368367433548, -0.22704562544822693, -0.22325685620307922, 0.6114187240600586, -0.2610325217247009, 0.2700386345386505, -0.22253747284412384, 0.29406672716140747, 0.19342300295829773, -0.5274226069450378, 0.5884766578674316, 0.17693819105625153, -0.18646970391273499, 0.024427132681012154, 0.4215908944606781]"
무난,"[-0.2721615731716156, -1.0089441537857056, -0.1519949585199356, -0.1420661360025406, 0.4987495243549347, -0.5066675543785095, 0.27179670333862305, -0.32153427600860596, 0.8384495377540588, -0.15243598818778992, 0.011536506935954094, 0.29646408557891846, -0.669291079044342, 0.12373809516429901, 0.28092706203460693, 0.9133392572402954, 0.03551473468542099, 0.270161509513855, 0.3462548851966858, 0.08223633468151093, -0.4076841175556183, 0.5805460810661316, 0.28371044993400574, -0.2007073611021042, 0.045418694615364075, -0.5534858703613281, 0.12625423073768616, 0.13606710731983185, 0.20729027688503265, 0.3958694636821747, -0.16176024079322815, -0.4023215174674988, 0.3467510938644409, -0.2843369245529175, -0.2065180242061615, 0.6311690211296082, -0.11099761724472046, -0.23327971994876862, -0.4511822462081909, -0.8068570494651794, -0.36072877049446106, -0.2899608612060547, 0.48209989070892334, -0.06324895471334457, -0.13333581387996674, -0.09795013815164566, 0.3905426263809204, -0.0555511899292469, 0.026206206530332565, -0.5319458842277527, -0.028700143098831177, -0.24575795233249664, -0.31504809856414795, 0.5646877288818359, -0.11679776012897491, 0.3587018847465515, -0.007275120355188847, -0.14220570027828217, 0.4999745488166809, 0.16585686802864075, -0.461934357881546, 0.16802167892456055, 0.395510733127594, 0.46247750520706177, -0.40701672434806824, 0.12823010981082916, -0.4017561376094818, -0.15102575719356537, -0.18028713762760162, -0.3551895022392273, -0.8640158176422119, -0.294846773147583, 0.14814706146717072, -0.8449592590332031, 0.7883248925209045, 0.1287139356136322, 0.13214059174060822, 0.4938661754131317, -0.8516964912414551, 0.007450002245604992, -0.5513285398483276, -0.08053325861692429, 0.27920395135879517, -0.34521734714508057, -0.20838411152362823, 0.14977899193763733, 0.06968249380588531, -0.38691383600234985, -0.3215053975582123, -0.6251981258392334, 0.8488341569900513, 0.22005029022693634, 0.19839949905872345, -0.09347470849752426, 0.2630598545074463, 0.5081232786178589, 0.09347349405288696, 0.03116416186094284, 0.104990653693676, -0.02935936115682125]"
비슷,"[0.11149503290653229, -0.7474458813667297, 0.27230095863342285, 0.04454760625958443, 0.7511211037635803, 0.5543715357780457, 0.5718942284584045, -0.36349987983703613, 0.21943020820617676, 0.024480191990733147, 0.3149992525577545, -0.02979782409965992, -0.6412569284439087, -0.09587059170007706, 0.5020886659622192, 0.6706668138504028, 0.10333765298128128, 0.4485782980918884, 0.2700587213039398, 0.05083327740430832, -0.2899867296218872, 0.047666121274232864, 0.6499966979026794, -0.7736831307411194, -0.02624901570379734, -0.4470849931240082, 0.277871698141098, 0.08426068723201752, 0.5066896080970764, 0.4253402352333069, -0.28017473220825195, -0.10972500592470169, 0.11964774131774902, -0.2567051351070404, -0.5755581855773926, -0.07994973659515381, -0.13205745816230774, -0.28281691670417786, -0.4741648733615875, -1.262975811958313, -0.23150944709777832, -0.03437849506735802, 0.40591961145401, -0.22887712717056274, -0.3037268817424774, 0.21602405607700348, 0.06338205188512802, 0.19055946171283722, -0.5427483320236206, -0.5060735940933228, -0.06044909730553627, -0.2063302993774414, -0.2568642497062683, -0.4282100200653076, -0.6666580438613892, 0.7023274302482605, 0.008002955466508865, 0.005984813440591097, 0.3755170702934265, 0.016004199162125587, -0.553573727607727, 0.44128167629241943, 0.09018783271312714, 0.3770736753940582, -0.2675984501838684, 0.3312707841396332, -0.1301955133676529, -0.015796300023794174, -0.2742414176464081, 0.06855668872594833, -0.17765216529369354, -0.0760570615530014, 0.3510311245918274, 0.10470324754714966, 0.7230837345123291, -0.689404308795929, -0.22348648309707642, 0.4020015597343445, -0.31788170337677, 0.23397059738636017, -0.08140583336353302, 0.040851764380931854, 0.10833661258220673, 0.06732459366321564, 0.1771228164434433, 0.631306529045105, 0.022619856521487236, -0.18610425293445587, -0.0035666439216583967, -0.19379374384880066, 0.5469017028808594, 0.524135947227478, 0.2165394127368927, 0.09620041400194168, -0.42373451590538025, 0.23478099703788757, 0.10701718181371689, 0.13441798090934753, 0.16202621161937714, 0.2028430700302124]"
신기,"[-0.04542097821831703, -0.6465482115745544, -0.09070238471031189, 0.3402055501937866, 0.39878660440444946, -0.3657568395137787, 0.4887838065624237, -0.17168259620666504, -0.2238643318414688, -0.026865797117352486, -0.18459613621234894, -0.20043747127056122, -0.2920995056629181, -0.07575410604476929, 0.6120215058326721, 0.595456600189209, -0.3020422160625458, 0.5524722337722778, -0.23712539672851562, 0.17294253408908844, 0.028217585757374763, 0.4784061908721924, 0.19103209674358368, -0.08758796751499176, 0.38916710019111633, -0.16088660061359406, 0.018031209707260132, 0.17599840462207794, -0.2364480346441269, -0.03897898644208908, -0.5792860984802246, 0.40237730741500854, -0.058124952018260956, -0.3685646653175354, -0.4566708505153656, 0.285025954246521, 0.12216920405626297, 0.050573479384183884, -0.6436019539833069, -0.8571480512619019, -0.6418747305870056, 0.16986136138439178, 0.06063175946474075, -0.10627977550029755, 0.039644185453653336, 0.14707137644290924, 0.38866302371025085, 0.5099841952323914, -0.2424802929162979, 0.10858667641878128, -0.3075551688671112, -0.21606770157814026, -0.4251222610473633, 0.2651989758014679, 0.07244148850440979, 0.07385942339897156, -0.08275703340768814, 0.7808843851089478, 0.22255884110927582, -0.12803196907043457, -0.21279343962669373, -0.8083823919296265, 0.17514389753341675, 0.7220243811607361, -0.38661640882492065, 0.1664685159921646, 0.29630205035209656, 0.344806432723999, -0.20181956887245178, 0.42634233832359314, -0.6465166807174683, -0.5141203999519348, 0.1284750998020172, -0.20457060635089874, -0.14888544380664825, 0.0778803601861, 0.022072939202189445, 0.20045167207717896, -0.0369122177362442, -0.027594348415732384, 0.13018156588077545, -0.36139827966690063, 0.11560502648353577, -0.3278621435165405, 0.3425634205341339, 0.2874924838542938, -0.24119655787944794, 0.2729162573814392, 0.38741451501846313, -0.4629976749420166, 0.5052468776702881, -0.042468369007110596, -0.41805189847946167, 0.5553268790245056, -0.075581856071949, -0.13567659258842468, -0.5454844832420349, 0.16728156805038452, 0.13790123164653778, 0.15964114665985107]"
은근,"[-0.058033328503370285, -0.47707322239875793, 0.09872313588857651, 0.11974697560071945, 0.6808033585548401, 0.30075570940971375, 0.053339552134275436, -0.2596086263656616, 0.25393298268318176, 0.2715541124343872, -0.08594301342964172, -0.12397152930498123, -0.431946724653244, 0.1650349497795105, 0.6284489035606384, 0.6847180724143982, -0.15725958347320557, 0.3389034867286682, 0.5871232151985168, -0.16978837549686432, -0.45507797598838806, 0.18437336385250092, 0.1199180856347084, -0.11830440163612366, -0.0049519711174070835, -0.19530168175697327, 0.011496256105601788, -0.11872886121273041, 0.22485628724098206, 0.23828519880771637, -0.3222934603691101, 0.08739122748374939, -0.177954763174057, -0.34720221161842346, 0.2816191017627716, 0.4287552237510681, -0.029959579929709435, -0.07937037199735641, -0.47377413511276245, -0.530051052570343, -0.024830345064401627, -0.3457002639770508, -0.2231457233428955, -0.4180813729763031, 0.022534891963005066, -0.003406061325222254, 0.6898687481880188, 0.3640750050544739, 0.1445012390613556, -0.18536540865898132, 0.33599960803985596, -0.2723401188850403, -0.29625970125198364, 0.022115744650363922, 0.3200187087059021, 0.3420722484588623, 0.36207976937294006, 0.37480685114860535, 0.4052483141422272, 0.16591545939445496, -0.22523319721221924, 0.4551050066947937, 0.41580402851104736, 0.3602878451347351, -0.3650955855846405, 0.053528282791376114, 0.014401229098439217, 0.2094997614622116, -0.18103234469890594, -0.19002196192741394, -0.5524452924728394, -0.7286553382873535, 0.04898643493652344, -0.21282033622264862, -0.026870600879192352, -0.22886013984680176, 0.46840107440948486, 0.5616181492805481, -0.42720532417297363, 0.3114125430583954, -0.3260067403316498, -0.29994964599609375, -0.048274219036102295, 0.2695762515068054, 0.021781569346785545, 0.050608109682798386, -0.17135794460773468, -0.23746834695339203, 0.6260346174240112, -0.17451967298984528, 0.2674582600593567, 0.08287854492664337, 0.4267812967300415, 0.4604032337665558, -0.21372590959072113, 0.2593804895877838, 0.07070649415254593, -0.17119207978248596, 0.3376826345920563, 0.08807067573070526]"
차분,"[0.15837262570858002, -0.33199676871299744, -0.01647261530160904, -0.2390543669462204, 0.14471577107906342, 0.07623730599880219, 0.8973265290260315, -0.10033580660820007, 0.30795758962631226, 0.020287666469812393, -0.28758957982063293, -0.15094389021396637, 0.01134747639298439, 0.26442453265190125, 0.6151493191719055, 0.09921439737081528, -0.47357839345932007, 0.2130998969078064, 0.6282355785369873, -0.08528567105531693, -0.5431690812110901, 0.6101916432380676, 0.39583927392959595, 0.3703104853630066, -0.08761265873908997, -0.3273389935493469, 0.3214370906352997, 0.208685502409935, -0.15715982019901276, 0.13815520703792572, -0.8164277076721191, 0.09767867624759674, 0.06455550342798233, -0.10627902299165726, 0.11944800615310669, 0.6906450390815735, 0.024509478360414505, -0.5987951755523682, -1.134482741355896, -0.7838180661201477, -0.1812811642885208, -0.617522656917572, 0.22915184497833252, -0.015666985884308815, -0.1001429408788681, -0.03911815956234932, 0.832676351070404, 0.4035301208496094, 0.28130045533180237, -0.818901777267456, -0.1152372732758522, -0.6044231057167053, -0.0803525298833847, 0.7011160254478455, 0.0006450889050029218, 0.45948144793510437, 0.04474382847547531, 0.5092010498046875, -0.5760011076927185, -0.10928551852703094, -0.7569832801818848, 0.7007713913917542, 0.68338543176651, 0.1440994292497635, -0.2903856635093689, 0.011109587736427784, -0.44658491015434265, 0.16859804093837738, -0.6083062291145325, 0.09323948621749878, -0.0838574469089508, -0.29047152400016785, 0.7170327305793762, 0.1628240942955017, 0.5624622702598572, -0.807971179485321, 0.20203837752342224, -0.104680135846138, -0.864829421043396, 0.24038782715797424, -0.3615817427635193, -0.14845781028270721, 0.35394057631492615, 0.10765586793422699, -0.11984848976135254, 0.2355419248342514, -0.007919291034340858, -0.21766075491905212, -0.07187240570783615, -0.47548171877861023, 0.46216604113578796, 0.017972957342863083, 0.6971198916435242, -0.23807162046432495, -0.3217172622680664, 0.4711906909942627, 0.18294121325016022, -0.004398058168590069, 0.35640057921409607, 0.3664412498474121]"
도톰,"[-0.12140192836523056, -0.44704559445381165, -0.34790438413619995, -0.20665481686592102, 0.5680140852928162, 0.13272608816623688, 0.424980491399765, -0.411844938993454, 0.34314778447151184, 0.019043410196900368, 0.17020712792873383, -0.3002355098724365, -0.8983151912689209, -0.2909288704395294, 0.30844637751579285, 0.6639992594718933, -0.6990407109260559, 0.5766072273254395, 0.5569688081741333, -0.3796398341655731, -0.5341874361038208, 0.23410660028457642, -0.07782837003469467, 0.2688466012477875, 0.22974321246147156, 0.372344434261322, 0.276080846786499, -0.3215988278388977, -0.13002635538578033, 0.030050696805119514, -0.08210910111665726, 0.10249975323677063, -0.047580186277627945, 0.025303782895207405, 0.0916626900434494, 1.024404525756836, 0.20811545848846436, -0.034529704600572586, -0.02201681397855282, -0.34490707516670227, -0.25029945373535156, -0.33733928203582764, 0.16942960023880005, -0.044657327234745026, 0.17270240187644958, 0.11351281404495239, 0.5819827318191528, 0.40867823362350464, -0.3001522719860077, -0.5022012591362, -0.2631361186504364, 0.024367420002818108, -0.15600062906742096, 0.27394118905067444, -0.4556601345539093, 0.7303829789161682, 0.26861119270324707, 0.03831601142883301, 0.26973623037338257, 0.03135450556874275, -0.6873881816864014, 0.524536669254303, -0.09310536831617355, -8.633869583718479e-05, -0.10558529943227768, 0.5301868915557861, 0.03598169982433319, -0.2985871434211731, -0.11914166063070297, -0.06731510162353516, -0.4688130021095276, -0.33205652236938477, 0.015681056305766106, 0.2153356522321701, 0.03015696071088314, -0.373390257358551, -0.10967313498258591, 0.02400682307779789, -0.052790895104408264, -0.06324350088834763, 0.2387276589870453, -0.2374069094657898, -0.02967974729835987, 0.1405802220106125, 0.13551567494869232, 0.4371534287929535, -0.03176164999604225, 0.023680655285716057, 0.37561970949172974, -0.35052043199539185, 0.17664127051830292, 0.20644184947013855, -0.09031100571155548, 0.5651212930679321, -0.4803866147994995, 0.5834891200065613, 0.2822451889514923, 0.09161219000816345, 0.12146059423685074, 0.3649058938026428]"
화사,"[-0.2487400323152542, -0.26339519023895264, 0.04084146022796631, 0.4594498574733734, 0.45632046461105347, 0.9921910166740417, -0.016871724277734756, -0.5573022961616516, 0.30809471011161804, -0.364873468875885, -0.35417571663856506, -0.13669636845588684, 0.21735575795173645, 0.08859499543905258, 0.5812444686889648, 0.1600082814693451, -0.4247796833515167, 0.4520907402038574, 0.3908309042453766, 0.06568372994661331, -0.5937137007713318, 0.4881563186645508, -0.021277008578181267, -0.17363040149211884, -0.15798869729042053, 0.2505497336387634, -0.4840773046016693, 0.4336743950843811, 0.19611512124538422, 0.12374835461378098, -0.24381135404109955, -0.35140925645828247, 0.10657208412885666, 0.39995741844177246, -0.09197859466075897, 0.4053058624267578, -0.20750606060028076, -0.5286811590194702, 0.23027335107326508, -0.4294149577617645, -0.08714904636144638, -0.30267536640167236, -0.5190685391426086, -0.21355408430099487, 0.12539508938789368, 0.12883803248405457, 0.9083453416824341, 0.329336941242218, -0.22910477221012115, -0.8611778020858765, -0.2953656017780304, 0.20119793713092804, -0.1475856751203537, 0.8794711828231812, 0.013244105502963066, 0.5382779836654663, -0.336956262588501, 0.06984870135784149, -0.6304261684417725, -0.29071807861328125, -0.43942704796791077, -0.7830305099487305, 0.0015378735261037946, 0.3856150805950165, 0.09192121028900146, 0.2581503689289093, -0.25271791219711304, 0.15010762214660645, 0.19079174101352692, -0.44238075613975525, -0.18968366086483002, 0.07371784001588821, -0.1657514125108719, -0.062001217156648636, -0.523307740688324, -0.16197772324085236, -0.2522112727165222, 0.33060023188591003, 0.02938998118042946, -0.09441486746072769, -0.20016206800937653, 0.3027779757976532, 0.4976559281349182, 0.08972432464361191, 0.4809001088142395, 0.2224837690591812, -0.014214995317161083, -0.40122830867767334, 0.4671940207481384, 0.049709733575582504, 0.47833526134490967, 0.05371479317545891, 0.17889495193958282, 0.2713371813297272, -0.49280229210853577, 0.8155355453491211, 0.09639320522546768, 0.5246508717536926, 0.0031278873793780804, -0.18415063619613647]"
상큼,"[-0.030131131410598755, -0.31576141715049744, -0.10777092725038528, 0.8883262872695923, 0.5308172106742859, 0.17570987343788147, 0.014702786691486835, 0.07847776263952255, 0.27459463477134705, 0.38906046748161316, -0.25628355145454407, -0.2869046926498413, -0.342494398355484, 0.4324328303337097, 0.22414550185203552, 0.9580286741256714, -0.25881534814834595, 0.2708159387111664, 0.42046862840652466, 0.3330582082271576, -0.32404494285583496, 0.3772318363189697, 0.2390027642250061, 0.0269900094717741, -0.061447370797395706, -0.434455007314682, -0.1904069483280182, 0.012468998320400715, 0.19555246829986572, 0.4372956454753876, -0.4881149232387543, -0.04019215703010559, 0.01137214433401823, -0.21542148292064667, -0.3668845295906067, 0.577012300491333, 0.15418531000614166, -0.10967942327260971, -0.4400676488876343, -0.8831484317779541, -0.2797820270061493, -0.7104758024215698, -0.004148669075220823, -0.5651445388793945, 0.2275184839963913, 0.1405191272497177, 0.27037855982780457, 0.3148093521595001, -0.6994133591651917, -0.4880079925060272, 0.31918400526046753, 0.007333075627684593, -0.20118270814418793, 0.49710410833358765, 0.031952254474163055, 0.2375037670135498, 0.28494226932525635, 0.5295318961143494, -0.2454337626695633, -0.16883353888988495, -0.8362786769866943, -0.42163676023483276, 0.07102932780981064, 0.3758809268474579, -1.2501623630523682, -0.1814907193183899, -0.07251060009002686, 0.1266651600599289, 0.078334741294384, -0.13343098759651184, -0.6907358765602112, -0.4638759195804596, -0.3919122517108917, 0.27373844385147095, -0.10444557666778564, -0.18305949866771698, 0.028631430119276047, 0.05052557960152626, -0.943611741065979, 0.16797764599323273, -0.12456835061311722, -0.07213183492422104, 0.02219855971634388, -0.011752338148653507, 0.16473010182380676, -0.16018317639827728, -0.38822242617607117, 0.018431898206472397, 0.4402318298816681, -0.14174534380435944, 0.5454970002174377, -0.06036747246980667, 0.2334890216588974, 0.524757981300354, -0.5899569988250732, 0.4042922556400299, 0.3410550057888031, -0.3579542636871338, 0.01926524192094803, 0.48760896921157837]"
은은,"[0.16147106885910034, -0.23233895003795624, -0.03247437626123428, 0.34242790937423706, 0.6015415787696838, 0.47465354204177856, 0.3034113347530365, -0.6220834255218506, 0.38992568850517273, 0.18082667887210846, 0.2962499260902405, -0.41537871956825256, -0.7531106472015381, 0.16533692181110382, 0.3978710174560547, 0.9177377820014954, -0.7066195607185364, 0.5304895043373108, 0.7523528933525085, -0.5039516687393188, -0.6640762686729431, 0.43447715044021606, -0.03261731192469597, 0.2608542740345001, -0.18633678555488586, -0.17437855899333954, 0.11349044740200043, -0.17754267156124115, 0.20124603807926178, 0.310580849647522, -0.6820488572120667, 0.08211315423250198, -0.25438550114631653, 0.1515444815158844, 0.2662375867366791, 1.040663480758667, 0.2708216607570648, -0.26262274384498596, -0.1967506855726242, -0.9783873558044434, -0.6498400568962097, -0.43836358189582825, -0.34364840388298035, -0.18517722189426422, 0.5172724723815918, -0.048127856105566025, 0.7415503859519958, 0.4253612458705902, -0.41174495220184326, -0.35204440355300903, -0.21115724742412567, 0.12869659066200256, 0.20876972377300262, 0.696151852607727, -0.16992245614528656, 0.3279324769973755, 0.4855356812477112, 0.2203301191329956, -0.2695706784725189, -0.028522619977593422, -0.48177370429039, 0.0055254921317100525, 0.06845025718212128, 0.17468729615211487, -0.21846047043800354, 0.7541680335998535, -0.195877805352211, 0.12470731139183044, -0.18608345091342926, -0.21306917071342468, -0.38974082469940186, -0.48290640115737915, -0.0684143528342247, 0.2615174353122711, 0.5306522846221924, -0.670744776725769, -0.3956582546234131, 0.37793439626693726, -0.39342695474624634, 0.16801361739635468, -0.09371067583560944, -0.3871763348579407, 0.16458630561828613, -0.28819528222084045, -0.07648307085037231, -0.2727465033531189, -0.17927716672420502, 0.15704788267612457, 0.5777581334114075, -0.14728645980358124, 0.3587478697299957, 0.20435106754302979, -0.01810837723314762, 0.26423633098602295, -0.7154476046562195, 0.6129157543182373, 0.7227034568786621, -0.060744185000658035, 0.17994271218776703, -0.3034776449203491]"
