ko_ingredient,en_ingredient,use,score
폴리글리세릴-2트라이아이소스테아레이트,Polyglyceryl-2 Triisostearate,"피부컨디셔닝제(유연제), 계면활성제(유화제), 용제",1.0
다이아이소스테아릴말레이트,Diisostearyl Malate,"피부컨디셔닝제(유연제), 용제",1.0
네오펜틸글라이콜다이카프레이트,Neopentyl Glycol Dicaprate,"피부컨디셔닝제(유연제), 점도증가제(비수성)",1.0
세레신,Ceresin,"결합제, 점증제-비수용성",1.0
피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate,"모발컨디셔닝제, 피부컨디셔닝제, 점증제",
폴리부텐,Polybutene,"결합제, 점증제-비수용성",1.0
아세틸레이티드수크로오스다이스테아레이트,Acetylated Sucrose Distearate,피부컨디셔닝제(유연제),1.0
마이카,Mica;CI 77019,"착색제, 불투명화제",
쿼터늄-18벤토나이트,Quaternium-18 Bentonite,현탁화제-비계면활성제,2.0
메틸파라벤,Methylparaben,"착향제, 보존제",4.0
티타늄디옥사이드,Titanium Dioxide;CI 77891,"착색제, 불투명화제, 자외선차단제",
적색201호,Lithol Rubine B;CI 15850,착색제,
적색223호,Tetrabromofluorescein;CI 45380:2 ․,착색제,
적색218호,Tetrachlorotetrabromofluorescein;CI 45410:1,착색제,
적색104호의(1),Phloxine B;CI 45410,착색제,
적색산화철,Iron Oxide Red;Ferric Oxide;CI 77491,착색제,
황색산화철,Iron Oxide Yellow;Hydrated Ferric Oxide;CI 77492,착색제,
티타늄/티타늄다이옥사이드,Titanium/Titanium Dioxide,불투명화제,
로얄젤리추출물,Royal Jelly Extract,,1.0
향료,Fragrance;Perfume;Parfum,착향제,
리모넨,Limonene,"착향제, 용제",5.0
정제수,Water;Aqua,"피부컨디셔닝제, 용제",
글리세린,Glycerin,"변성제, 착향제, 헤어컨디셔닝제, 보습제, 피부보호제, 피부컨디셔닝제(보습제), 점도감소제",2.0
부틸렌글라이콜,Butylene Glycol,"착향제, 피부컨디셔닝제, 용제, 점도감소제",1.0
피이지-50하이드로제네이티드캐스터오일,PEG-50 Hydrogenated Castor Oil,"향료, 계면활성제-세정제, 계면활성제-용해보조제",
트로메타민,Tromethamine,"착향제, pH 조절제",2.0
소듐시트레이트,Sodium Citrate,"pH 완충제, 금속이온봉쇄제, 착향제, pH 조절제",1.0
덱스트린,Dextrin,"흡수제, 결합제, 벌킹제(증량제), 점도증가제(수성)",1.0
스테비오사이드,Stevioside,감미제,1.0
시트릭애씨드,Citric Acid,"금속이온봉쇄제, 향료, pH 조절제",2.0
카보머,Carbomer,"유화안정제, 점증제-수용성",1.0
페녹시에탄올,Phenoxyethanol,"착향제, 보존제",4.0
적색102호,New Coccine;CI 16255,착색제,
적색227호,Fast Acid Magenta;CI 17200,착색제,
등색205호,Orange II;CI 15510,착색제,
황색4호,Tartrazine;CI 19140,착색제,
헵틸운데실하이드록시스테아레이트,Heptylundecyl Hydroxystearate,피부컨디셔닝제(유연제),
폴리에틸렌,Polyethylene,"연마제, 점착제, 결합제, 벌킹제(증량제), 유화안정제, 피막형성제, 점도증가제(비수성)",1.0
사이클로펜타실록세인,Cyclopentasiloxane,"헤어컨디셔닝제, 피부컨디셔닝제(유연제), 용제",3.0
비즈왁스,Beeswax,"결합제, 유화안정제, 제모제, 향료, 피부컨디셔닝제, 계면활성제-유화제, 점증제-비수용성",1.0
마이크로크리스탈린왁스,Microcrystalline Wax;Cera Microcristallina,"결합제, 벌킹제(증량제), 유화안정제, 점도증가제(비수성)",
C10-30콜레스테롤/라노스테롤에스터,C10-30 Cholesterol/Lanosterol Esters,"피부컨디셔닝제, 점증제-비수용성",
다이메티콘크로스폴리머,Dimethicone Crosspolymer,"유화안정제, 모발고정제, 점도증가제(비수성)",1.0
나일론-12,Nylon-12,벌킹제(증량제),1.0
메티콘,Methicone,"피부컨디셔닝제(수분차단제), 표면조정제",1.0
카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,"착향제, 피부컨디셔닝제(수분차단제), 용제",
